,trial,contrast_left,contrast_right,gocue_time,Path
0,119,50,0,0.7019285059782305,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_119.csv
0,120,0,0,0.6275070842154946,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_120.csv
0,121,0,0,0.7469883581100021,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_121.csv
0,122,0,0,0.7422477933522487,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_122.csv
0,123,50,25,0.4523854924636907,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_123.csv
0,124,0,25,0.707446072530729,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_124.csv
0,125,25,0,0.5620304685288602,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_125.csv
0,126,0,100,0.6124239849771129,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_126.csv
0,127,50,100,0.6172309360487134,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_127.csv
0,128,25,25,0.5867824120443856,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_128.csv
0,129,25,0,0.4217548065989831,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_129.csv
0,130,100,25,0.4615080114518832,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_130.csv
0,131,0,25,0.6264218822341263,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_131.csv
0,132,25,100,0.6773419394328357,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_132.csv
0,133,0,50,0.7572711451131227,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_133.csv
0,134,0,0,0.6917254690978325,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_134.csv
0,135,0,0,0.4564863811614259,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_135.csv
0,136,0,0,0.6569667890890969,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_136.csv
0,137,50,0,0.7522450292742633,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_137.csv
0,138,100,0,0.7572083482646121,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_138.csv
0,139,100,0,0.5772464938494295,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_139.csv
0,140,0,50,0.4510350082118748,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_140.csv
0,141,25,100,0.5821164001079069,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_141.csv
0,142,0,25,0.671874194956672,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_142.csv
0,143,0,25,0.5071627081781571,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_143.csv
0,144,0,50,0.4468816220361304,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_144.csv
0,145,50,100,0.5366073009704451,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_145.csv
0,146,100,25,0.4719123123177269,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_146.csv
0,147,50,25,0.4472378724150303,C:\Users\mreki\iBOTS-Developing-Data-Analysis-Projects\session2\data\steinmetz\no_neurons\raw\subject-Lederberg\session-20171209\task\trial_147.csv
